web-scraper-order,web-scraper-start-url,cloth
"1692464499-17","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Mulvari Plus Tie Front Denim Skirt"
"1692464499-18","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Leisure Letter Graphic Side Stripe Zip Up Crop Sports Jacket"
"1692464499-19","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Contrast Lace Cami Bodysuit"
"1692464499-20","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Frenchy Plus Lapel Neck Flap Detail Blazer"
"1692464499-21","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Clasi Plus Houndstooth Print Lapel Neck Blazer"
"1692464499-22","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Plus Lapel Neck Single Breasted Blazer"
"1692464499-23","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN X Threesuture Plus Halloween Print Single Button Blazer"
"1692464499-24","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Clasi Plus Graphic Print Shawl Collar Blazer"
"1692464499-25","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Essnce Plus Off Shoulder Belted Denim Dress"
"1692464499-26","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN ICON Plus Square Neck Raw Hem Denim Dress"
"1692464499-27","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Coolane Letter Graphic Elastic Waist Sweatpants"
"1692464499-28","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN VCAY Contrast Tape Side Sweatpants"
"1692464499-29","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New FriFul Letter Graphic Contrast Piping Sweatpants"
"1692464499-30","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Camo Print Flap Pocket Side Drawstring Waist Cargo Sweatpants"
"1692464499-31","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN EZwear Flap Pocket Side Drawstring Waist Sweatpants"
"1692464499-32","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN SXY Solid Drawstring Waist Sweatpants"
"1692464499-33","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Coolane Letter Graphic Colorblock Slant Pocket Sweatpants"
"1692464499-34","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Plus Drawstring Waist Slant Pocket Straight Leg Pants"
"1692464499-35","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Plus Top-stitching Wide Leg Pants"
"1692464499-36","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Striped Pattern Button Front Cardigan"
"1692464499-37","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Tween Girl Leopard Print Zip Up Teddy Lined Hooded Jacket Without Sweater"
"1692464499-38","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Tween Girl Checkerboard Pattern Striped Trim Bomber Jacket Without Sweater"
"1692464499-39","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Tween Girl 1pc Flap Detail Zip Up Jacket"
"1692464499-40","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Halloween Print Cami Top & Shorts PJ Set"
"1692464499-41","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New 1pc Short Champagne Colored Satin Robe With Bridesmaid Embroidery, Elegant Design"
"1692464499-42","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New P.A.R.O.S.H. women's casual pants PURPLISH RED RENNYD232222042"
"1692464499-43","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New 1pc Short Bridesmaid Printed Satin Robe With Lace Trimmed Sleeves"
"1692464499-44","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Wolford women's casual pants BLACK 193497005"
"1692464499-45","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New 1pc Short Bridesmaid Printed Satin Robe With Lace Cuffs"
"1692464499-46","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Simple Flower Pattern Lace Wireless Bra"
"1692464499-47","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Tween Girl 1pc Letter Embroidery Zip Up Hooded Jacket"
"1692464499-48","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Floral Lace Bra"
"1692464499-49","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Contrast Lace PJ Set"
"1692464499-50","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Ladies' Sexy, Comfortable & Simple Bra Top"
"1692464499-51","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Batwing Sleeve Hooded Sweatshirt"
"1692464499-52","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New DAZY Fringe Trim Drop Shoulder Sweatshirt"
"1692464499-53","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Maternity Ditsy Floral Print Knot Cuff Dress"
"1692464499-54","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New S Max Mara women's casual pants DARK GREY 2398160133600005"
"1692464499-55","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New DAZY High Waist Flare Leg Pants"
"1692464499-56","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Simple Pattern Lace Wireless Bra"
"1692464499-57","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Calvin Klein women's casual pants KHAKI K20K205689HJV"
"1692464499-58","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN VCAY Plus Floral Embroidery Mesh Overlay Skirt"
"1692464499-59","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Letter Graphic Thermal Lined Sweatshirt"
"1692464499-60","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New DAZY Solid Wide Leg Pants"
"1692464499-61","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN EZwear Plus Letter Graphic Striped Trim Drop Shoulder Two Tone Varsity Jacket"
"1692464499-62","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Young Girl Leopard Pattern Flannel Jacket"
"1692464499-63","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Young Girl Zip Up Hooded Jacket Without Tee"
"1692464499-64","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN EZwear Plus Flap Pocket Zip Up Crop Vest Jacket"
"1692464499-65","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Solid Belted Wide Leg Pants"
"1692464499-66","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Simple Retro High Waist Mom Fit Jeans Without Belt"
"1692464499-67","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Women's Short Sleeve Pajama Set, Korean Style Thin Lapel Button Design Simple Ice Silk Cool Fairy Home Wear"
"1692464499-68","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Lettuce Trim Cami Top & Strawberry Print Bow Front Shorts PJ Set"
"1692464499-69","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New Bear Print Tee & Heart Print Pants PJ Set"
"1692464499-70","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New EMERY ROSE Floral Print Elastic Waist Pants"
"1692464499-71","https://us.shein.com/daily-new.html?icn=what%27snew&ici=us_tab01navbar01&src_module=topcat&src_tab_page_id=page_home1692436270870&src_identifier=fc%3DWomen%60sc%3DNEW%20IN%60tc%3D0%60oc%3D0%60ps%3Dtab01navbar01%60jc%3Ddailynew_0&srctype=category&userpath=category-NEW-IN","New SHEIN Leisure Pocket Patched Button Up Lounge Set"
